Country,Day,Month,School outage
Afganistan,14,3,1
Albania,11,3,1
Algeria,12,3,1
Argentina,16,3,1
Armenia,2,3,1
Aruba,16,3,1
Australia,22,3,0
Austria,12,3,1
Azerbaijan,3,3,1
Bahrain,25,2,1
Bangladesh,17,3,1
Belgium,13,3,1
Bolivia,12,3,1
Bosna and Herzegovina,12,3,1
Brazil,NA,NA,0
Bulgaria,16,3,1
Burkina Faso,16,3,1
Cameroon,18,3,1
Canada,17,3,1
Canada,14,3,1
Colombia,16,3,1
Costa Rica,17,3,1
Cote d'Ivoire,17,3,1
Croatia,12,3,1
Cyprus,13,3,1
Czech Republic,11,3,1
Denmark,11,3,1
Ecuador,13,3,1
Egypt,16,3,1
Estonia,16,3,1
Ethiopia,16,3,1
Finland,23,3,1
France,16,3,1
Georgia,2,3,1
Germany,16,3,1
Greece,11,3,1
Guatemala,16,3,1
Guinea-Bissai,17,3,1
Honduras,12,3,1
Hungary,16,3,1
Chile,16,3,1
China,21,2,1
Iceland,16,3,1
India,,,0
Indonesia,16,3,1
Iran,26,2,1
Iraq,7,3,1
Ireland,12,3,1
Israel,12,3,1
Italy,4,3,1
Jamaica,12,3,1
Japan,2,3,1
JAR,18,3,1
Jordan,15,3,1
Kazakhstan,16,3,1
Kenya,3,3,1
Kuwait,2,3,1
Kyrgystan,16,3,1
Latvia,12,3,1
Lebanon,2,3,1
Lesotho,19,3,1
Lithuania,12,3,1
Luxembourg,16,3,1
Lybie,16,3,1
Malaysia,18,3,1
Mauritania,16,3,1
Moldova,11,3,1
Mongolia,19,2,1
Montenegro,16,3,1
Morocco,16,3,1
Nepal,18,3,1
Netherlands,16,3,1
North Korea,2,3,1
North Macedonia,11,3,1
Norway,12,3,1
Pakistan,14,3,1
Panama,12,3,1
Paraguay,11,3,1
Peru,16,3,1
Philippines,,,0
Poland,16,3,1
Portugal,16,3,1
Quatar,10,3,1
Romania,15,3,1
Romania,11,3,1
Russia,21,3,1
Rwanda,16,3,1
Salvador,12,3,1
Saudi Arabia,9,3,1
Senegal,16,3,1
Serbia,16,3,1
Singapore,NA,NA,0
Slovakia,13,3,1
Slovenia,16,3,1
Somalia,18,3,1
South Korea,2,3,1
Spain,16,3,1
Spain,11,3,0.5
Sri Lanka,13,3,1
Sudan,16,3,1
Sweden,18,3,1
Switzerland,14,3,1
Syria,16,3,1
Thailand,18,3,1
Tunisia,16,3,1
Turkey,16,3,1
UK,20,3,1
Ukraine,12,3,1
United Arab Emirates,8,3,1
Uruguay,16,3,1
US,13,3,0.3
US,12,3,0.3
Uzbekistan,16,3,1
Venezuela,17,3,1
